name,Builder,BHK,Price,Area,Description
Hiranandani Regent Hill,Hiranandani Developers,1 BHK Apartment,₹1.46 - 1.51 Cr,37846 - 390 sq.ft,"Hiranandani Regent Hill, one of the known housing societes in Central Mumbai, brings classic yet modern 1 BHK apartments in Hiranandani Gardens Powai. Prices of apartments in this project, vary between Rs. 1.46 - 1.51 Cr. Here units have different sizes, mostly in range of 378.46 - 390 sq.ft. CARPET area. Hiranandani Regent Hill 's RERA registration number is P51800018620"
Raheja Ascencio,K Raheja Corp,1 BHK Apartment,₹2.04 - 2.17 Cr,60913 - 1286 sq.ft,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Powai, available for sale in Raheja Ascencio. Raheja Ascencio has apartments in multiple configurations, in range of 609.13 - 1,286 sq.ft.. Raheja Ascencio 's RERA registration number is P51800028506. Prices of apartments in this project, vary between Rs. 2.04 - 4.45 Cr"
Raheja Ascencio,K Raheja Corp,2 BHK Apartment,₹2.5 - 3.19 Cr,60913 - 1286 sq.ft,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Powai, available for sale in Raheja Ascencio. Raheja Ascencio has apartments in multiple configurations, in range of 609.13 - 1,286 sq.ft.. Raheja Ascencio 's RERA registration number is P51800028506. Prices of apartments in this project, vary between Rs. 2.04 - 4.45 Cr"
Raheja Ascencio,K Raheja Corp,3 BHK Apartment,₹4.45 Cr,60913 - 1286 sq.ft,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Powai, available for sale in Raheja Ascencio. Raheja Ascencio has apartments in multiple configurations, in range of 609.13 - 1,286 sq.ft.. Raheja Ascencio 's RERA registration number is P51800028506. Prices of apartments in this project, vary between Rs. 2.04 - 4.45 Cr"
Suraj Ocean Star,Suraj Estate,3 BHK Apartment,₹12.33 - 14.35 Cr,115346 - 183213 sq.ft,"Choose your dream home from the wide variety of 3,4 BHK apartments in Dadar West, available for sale in Suraj Ocean Star. Suraj Ocean Star apartments are available in multiples sizes, ranging from 1,153.46 - 1,832.13 sq.ft. CARPET area. The housing society is RERA-registered with P51900007257 registration number. Prices of apartments in this project, vary between Rs. 12.33 - 19.59 Cr"
Suraj Ocean Star,Suraj Estate,4 BHK Apartment,₹18.34 - 19.59 Cr,115346 - 183213 sq.ft,"Choose your dream home from the wide variety of 3,4 BHK apartments in Dadar West, available for sale in Suraj Ocean Star. Suraj Ocean Star apartments are available in multiples sizes, ranging from 1,153.46 - 1,832.13 sq.ft. CARPET area. The housing society is RERA-registered with P51900007257 registration number. Prices of apartments in this project, vary between Rs. 12.33 - 19.59 Cr"
Rivali Park,CCI Projects and G Corp,1 BHK Apartment,Price on Request,639 - 188519 sq.ft,"Rivali Park society now offers elegantly built 1,2,3,4 BHK apartments in Borivali East. This society offers apartments in the price range of Rs. 1.6 - 5.28 Cr. Rivali Park is a RERA- registered society and P51800003067 is the RERA registration number. Rivali Park apartments are available in multiples sizes, ranging from 639 - 1,885.19 sq.ft. CARPET area"
Rivali Park,CCI Projects and G Corp,2 BHK Apartment,₹1.6 - 2.15 Cr,639 - 188519 sq.ft,"Rivali Park society now offers elegantly built 1,2,3,4 BHK apartments in Borivali East. This society offers apartments in the price range of Rs. 1.6 - 5.28 Cr. Rivali Park is a RERA- registered society and P51800003067 is the RERA registration number. Rivali Park apartments are available in multiples sizes, ranging from 639 - 1,885.19 sq.ft. CARPET area"
Rivali Park,CCI Projects and G Corp,3 BHK Apartment,₹1.61 - 2.43 Cr,639 - 188519 sq.ft,"Rivali Park society now offers elegantly built 1,2,3,4 BHK apartments in Borivali East. This society offers apartments in the price range of Rs. 1.6 - 5.28 Cr. Rivali Park is a RERA- registered society and P51800003067 is the RERA registration number. Rivali Park apartments are available in multiples sizes, ranging from 639 - 1,885.19 sq.ft. CARPET area"
Rivali Park,CCI Projects and G Corp,4 BHK Apartment,₹5.21 - 5.28 Cr,639 - 188519 sq.ft,"Rivali Park society now offers elegantly built 1,2,3,4 BHK apartments in Borivali East. This society offers apartments in the price range of Rs. 1.6 - 5.28 Cr. Rivali Park is a RERA- registered society and P51800003067 is the RERA registration number. Rivali Park apartments are available in multiples sizes, ranging from 639 - 1,885.19 sq.ft. CARPET area"
Ruparel Panache,Ruparel Realty,3 BHK Apartment,₹5.99 Cr,,"Check out 3 BHK apartments in Santacruz West, now available for sale at Ruparel Panache. This society is RERA approved and P51800046597 is the RERA number. This society offers apartments in the price range of Rs. 5.99 Cr. Ruparel Panache has apartments in multiple configurations, in range of 1,081 sq.ft."
Darshan Inara,Darshan Legacy Builders LLP,2 BHK Apartment,₹4 - 5.39 Cr,6735 - 1607 sq.ft,"Finest 2,3,4 BHK apartments in Prabhadevi available for sale in Darshan Inara. The housing society is RERA-registered with P51900055392 registration number. This society offers apartments in the price range of Rs. 4 - 9.55 Cr. Darshan Inara apartments are available in multiples sizes, ranging from 673.5 - 1,607 sq.ft. CARPET area"
Darshan Inara,Darshan Legacy Builders LLP,3 BHK Apartment,₹6.98 - 9.55 Cr,6735 - 1607 sq.ft,"Finest 2,3,4 BHK apartments in Prabhadevi available for sale in Darshan Inara. The housing society is RERA-registered with P51900055392 registration number. This society offers apartments in the price range of Rs. 4 - 9.55 Cr. Darshan Inara apartments are available in multiples sizes, ranging from 673.5 - 1,607 sq.ft. CARPET area"
Darshan Inara,Darshan Legacy Builders LLP,4 BHK Apartment,₹9.55 Cr,6735 - 1607 sq.ft,"Finest 2,3,4 BHK apartments in Prabhadevi available for sale in Darshan Inara. The housing society is RERA-registered with P51900055392 registration number. This society offers apartments in the price range of Rs. 4 - 9.55 Cr. Darshan Inara apartments are available in multiples sizes, ranging from 673.5 - 1,607 sq.ft. CARPET area"
GeeCee Proximus,GeeCee Ventures,2 BHK Apartment,₹2.75 - 2.8 Cr,706 - 1010 sq.ft,"Finest 2,3 BHK apartments in Chembur available for sale in GeeCee Proximus. This society offers apartments in the price range of Rs. 2.75 - 3.8 Cr. The housing society is RERA-registered with P51800027318 registration number. Apartments in GeeCee Proximus have CARPET area ranging between 706 - 1,010 sq.ft."
GeeCee Proximus,GeeCee Ventures,3 BHK Apartment,₹3.8 Cr,706 - 1010 sq.ft,"Finest 2,3 BHK apartments in Chembur available for sale in GeeCee Proximus. This society offers apartments in the price range of Rs. 2.75 - 3.8 Cr. The housing society is RERA-registered with P51800027318 registration number. Apartments in GeeCee Proximus have CARPET area ranging between 706 - 1,010 sq.ft."
Rishabraj Mangal Varsha,H Rishabraj Realty,2 BHK Apartment,₹4.5 - 5.23 Cr,69352 - 93205 sq.ft,"Finest 2,3 BHK apartments in Santacruz West available for sale in Rishabraj Mangal Varsha. Apartments in this complex are available in price range of Rs. 4.5 - 6.06 Cr. This society is RERA approved and P51800054491 is the RERA number. Rishabraj Mangal Varsha apartments are available in multiples sizes, ranging from 693.52 - 932.05 sq.ft. CARPET area"
Rishabraj Mangal Varsha,H Rishabraj Realty,3 BHK Apartment,₹6.06 Cr,69352 - 93205 sq.ft,"Finest 2,3 BHK apartments in Santacruz West available for sale in Rishabraj Mangal Varsha. Apartments in this complex are available in price range of Rs. 4.5 - 6.06 Cr. This society is RERA approved and P51800054491 is the RERA number. Rishabraj Mangal Varsha apartments are available in multiples sizes, ranging from 693.52 - 932.05 sq.ft. CARPET area"
DGS Sheetal Regalia,DGS Group,1 BHK Apartment,₹1.05 - 1.06 Cr,360 - 955 sq.ft,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Borivali East, available for sale in DGS Sheetal Regalia. DGS Sheetal Regalia has apartments in multiple configurations, in range of 360 - 955 sq.ft.. The housing society is RERA-registered with P51800048237 registration number. This society offers apartments in the price range of Rs. 1.05 - 2.48 Cr"
DGS Sheetal Regalia,DGS Group,2 BHK Apartment,₹1.27 - 1.83 Cr,360 - 955 sq.ft,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Borivali East, available for sale in DGS Sheetal Regalia. DGS Sheetal Regalia has apartments in multiple configurations, in range of 360 - 955 sq.ft.. The housing society is RERA-registered with P51800048237 registration number. This society offers apartments in the price range of Rs. 1.05 - 2.48 Cr"
DGS Sheetal Regalia,DGS Group,3 BHK Apartment,₹1.91 - 2.48 Cr,360 - 955 sq.ft,"Choose your dream home from the wide variety of 1,2,3 BHK apartments in Borivali East, available for sale in DGS Sheetal Regalia. DGS Sheetal Regalia has apartments in multiple configurations, in range of 360 - 955 sq.ft.. The housing society is RERA-registered with P51800048237 registration number. This society offers apartments in the price range of Rs. 1.05 - 2.48 Cr"
34 Park Estate,Chandak Group,1 BHK Apartment,₹1.25 Cr,391 - 846 sq.ft,"Spacious 1,2,3 BHK apartments in Goregaon West are available for sale.Check out latest property options at 34 Park Estate housing society. This society offers apartments in the price range of Rs. 1.25 - 2.83 Cr. Here units have different sizes, mostly in range of 391 - 846 sq.ft. CARPET area. 34 Park Estate 's RERA registration number is P51800006729"
34 Park Estate,Chandak Group,2 BHK Apartment,₹1.69 - 2.1 Cr,391 - 846 sq.ft,"Spacious 1,2,3 BHK apartments in Goregaon West are available for sale.Check out latest property options at 34 Park Estate housing society. This society offers apartments in the price range of Rs. 1.25 - 2.83 Cr. Here units have different sizes, mostly in range of 391 - 846 sq.ft. CARPET area. 34 Park Estate 's RERA registration number is P51800006729"
34 Park Estate,Chandak Group,3 BHK Apartment,₹2.83 Cr,391 - 846 sq.ft,"Spacious 1,2,3 BHK apartments in Goregaon West are available for sale.Check out latest property options at 34 Park Estate housing society. This society offers apartments in the price range of Rs. 1.25 - 2.83 Cr. Here units have different sizes, mostly in range of 391 - 846 sq.ft. CARPET area. 34 Park Estate 's RERA registration number is P51800006729"
Matrubhumi The Grand Residences,Matrubhumi Construction Private Ltd,2 BHK Apartment,₹2.09 - 2.22 Cr,85831 - 1812 sq.ft,"Choose your dream home from the wide variety of 2,3,4,5 BHK apartments in Borivali East, available for sale in Matrubhumi The Grand Residences. Matrubhumi The Grand Residences 's RERA registration number is P51800053261. Prices of apartments in this project, vary between Rs. 2.09 - 4.4 Cr. Matrubhumi The Grand Residences has apartments in multiple configurations, in range of 858.31 - 1,812 sq.ft."
Matrubhumi The Grand Residences,Matrubhumi Construction Private Ltd,3 BHK Apartment,₹2.12 - 4.2 Cr,85831 - 1812 sq.ft,"Choose your dream home from the wide variety of 2,3,4,5 BHK apartments in Borivali East, available for sale in Matrubhumi The Grand Residences. Matrubhumi The Grand Residences 's RERA registration number is P51800053261. Prices of apartments in this project, vary between Rs. 2.09 - 4.4 Cr. Matrubhumi The Grand Residences has apartments in multiple configurations, in range of 858.31 - 1,812 sq.ft."
Matrubhumi The Grand Residences,Matrubhumi Construction Private Ltd,4 BHK Apartment,₹4.4 Cr,85831 - 1812 sq.ft,"Choose your dream home from the wide variety of 2,3,4,5 BHK apartments in Borivali East, available for sale in Matrubhumi The Grand Residences. Matrubhumi The Grand Residences 's RERA registration number is P51800053261. Prices of apartments in this project, vary between Rs. 2.09 - 4.4 Cr. Matrubhumi The Grand Residences has apartments in multiple configurations, in range of 858.31 - 1,812 sq.ft."
Matrubhumi The Grand Residences,Matrubhumi Construction Private Ltd,5 BHK Apartment,Price on Request,85831 - 1812 sq.ft,"Choose your dream home from the wide variety of 2,3,4,5 BHK apartments in Borivali East, available for sale in Matrubhumi The Grand Residences. Matrubhumi The Grand Residences 's RERA registration number is P51800053261. Prices of apartments in this project, vary between Rs. 2.09 - 4.4 Cr. Matrubhumi The Grand Residences has apartments in multiple configurations, in range of 858.31 - 1,812 sq.ft."
Lodha Eternis,Lodha,2 BHK Apartment,₹1.87 - 2.85 Cr,623 - 1195 sq.ft,"Looking for your dream home? Explore 2,3 BHK apartments in Andheri East, now available in Lodha Eternis. Apartment prices in this housing society vary in the range of Rs. 1.87 - 3.51 Cr. Lodha Eternis 's RERA registration number is P51800000345. Here units have different sizes, mostly in range of 623 - 1,195 sq.ft. CARPET area"
Lodha Eternis,Lodha,3 BHK Apartment,₹2.63 - 3.51 Cr,623 - 1195 sq.ft,"Looking for your dream home? Explore 2,3 BHK apartments in Andheri East, now available in Lodha Eternis. Apartment prices in this housing society vary in the range of Rs. 1.87 - 3.51 Cr. Lodha Eternis 's RERA registration number is P51800000345. Here units have different sizes, mostly in range of 623 - 1,195 sq.ft. CARPET area"
Hiranandani Atlantis,Hiranandani Developers,2 BHK Apartment,₹3.32 - 3.46 Cr,740 - 771 sq.ft,"Here are beautifully built 2 BHK apartments in Hiranandani Gardens Powai, available for sale at Hiranandani Atlantis. Apartments in Hiranandani Atlantis have CARPET area ranging between 740 - 771 sq.ft.. Prices of apartments in this project, vary between Rs. 3.32 - 3.46 Cr. The housing society is RERA-registered with P51800000154 registration number"
Lodha Evoq,Lodha,3 BHK Apartment,₹7.81 Cr,1645 - 2730 sq.ft,"Lodha Evoq society now offers elegantly built 3,4 BHK apartments in Wadala East. Lodha Evoq 's RERA registration number is P51900000567. Lodha Evoq apartments are available in multiples sizes, ranging from 1,645 - 2,730 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 7.81 - 12.97 Cr"
Lodha Evoq,Lodha,4 BHK Apartment,₹9.52 - 12.97 Cr,1645 - 2730 sq.ft,"Lodha Evoq society now offers elegantly built 3,4 BHK apartments in Wadala East. Lodha Evoq 's RERA registration number is P51900000567. Lodha Evoq apartments are available in multiples sizes, ranging from 1,645 - 2,730 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 7.81 - 12.97 Cr"
Puneet Shivalaya,Puneet Group,1 BHK Apartment,₹68.3 - 83.62 L,379 - 64035 sq.ft,"Puneet Shivalaya, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2 BHK apartments in Tagore Nagar. Apartments in Puneet Shivalaya have CARPET area ranging between 379 - 640.35 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 68.3 L - 1.15 Cr. The housing society is RERA-registered with P51800029659 registration number"
Puneet Shivalaya,Puneet Group,2 BHK Apartment,₹78.75 L - 1.15 Cr,379 - 64035 sq.ft,"Puneet Shivalaya, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2 BHK apartments in Tagore Nagar. Apartments in Puneet Shivalaya have CARPET area ranging between 379 - 640.35 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 68.3 L - 1.15 Cr. The housing society is RERA-registered with P51800029659 registration number"
Vaibhavlaxmi Central Park,Vaibhavlaxmi Builders,1 BHK Apartment,₹82 - 85 L,385 - 637 sq.ft,"Vaibhavlaxmi Central Park society now offers elegantly built 1,2 BHK apartments in Vikhroli East. Vaibhavlaxmi Central Park apartments are available in multiples sizes, ranging from 385 - 637 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 82 L - 1.35 Cr. Vaibhavlaxmi Central Park 's RERA registration number is P51800033540"
Vaibhavlaxmi Central Park,Vaibhavlaxmi Builders,2 BHK Apartment,₹1.35 Cr,385 - 637 sq.ft,"Vaibhavlaxmi Central Park society now offers elegantly built 1,2 BHK apartments in Vikhroli East. Vaibhavlaxmi Central Park apartments are available in multiples sizes, ranging from 385 - 637 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 82 L - 1.35 Cr. Vaibhavlaxmi Central Park 's RERA registration number is P51800033540"
K Raheja Maestro,K Raheja Corp,4 BHK Apartment,₹22.34 - 26.86 Cr,262844 - 316093 sq.ft,"K Raheja Maestro, one of the known housing societes in Western Mumbai, brings classic yet modern 4 BHK apartments in Juhu. This society offers apartments in the price range of Rs. 22.34 - 26.86 Cr. Here units have different sizes, mostly in range of 2,628.44 - 3,160.93 sq.ft. CARPET area. K Raheja Maestro is a RERA- registered society and P51800051079 is the RERA registration number"
Birla Niyaara Phase 2,Birla Estates,4 BHK Apartment,₹30.28 - 30.69 Cr,3028 - 3974 sq.ft,"Spacious 4,5 BHK apartments in Worli are available for sale.Check out latest property options at Birla Niyaara Phase 2 housing society. Apartments in Birla Niyaara Phase 2 have CARPET area ranging between 3,028 - 3,974 sq.ft.. This society offers apartments in the price range of Rs. 30.28 - 39.74 Cr. Birla Niyaara Phase 2 's RERA registration number is P51900054455"
Birla Niyaara Phase 2,Birla Estates,5 BHK Apartment,₹39.74 Cr,3028 - 3974 sq.ft,"Spacious 4,5 BHK apartments in Worli are available for sale.Check out latest property options at Birla Niyaara Phase 2 housing society. Apartments in Birla Niyaara Phase 2 have CARPET area ranging between 3,028 - 3,974 sq.ft.. This society offers apartments in the price range of Rs. 30.28 - 39.74 Cr. Birla Niyaara Phase 2 's RERA registration number is P51900054455"
K Raheja Residency,K Raheja Realty,2 BHK Apartment,₹1.95 - 2.56 Cr,725 - 950 sq.ft,"Spacious 2 BHK apartments in Malad East are available for sale.Check out latest property options at K Raheja Residency housing society. Apartment prices in this housing society vary in the range of Rs. 1.95 - 2.56 Cr. K Raheja Residency apartments are available in multiples sizes, ranging from 725 - 950 sq.ft. CARPET area. Apartments at K Raheja Residency is currently Ready To Move"
Flowline DLH Signature,Flowline Developers,2 BHK Apartment,₹6.52 - 8.51 Cr,81504 - 199993 sq.ft,"Flowline DLH Signature society now offers elegantly built 2,3 BHK apartments in Bandra West. Prices of apartments in this project, vary between Rs. 6.52 - 15.99 Cr. Flowline DLH Signature apartments are available in multiples sizes, ranging from 815.04 - 1,999.93 sq.ft. CARPET area. Flowline DLH Signature 's RERA registration number is P51800046093"
Flowline DLH Signature,Flowline Developers,3 BHK Apartment,₹7.83 - 15.99 Cr,81504 - 199993 sq.ft,"Flowline DLH Signature society now offers elegantly built 2,3 BHK apartments in Bandra West. Prices of apartments in this project, vary between Rs. 6.52 - 15.99 Cr. Flowline DLH Signature apartments are available in multiples sizes, ranging from 815.04 - 1,999.93 sq.ft. CARPET area. Flowline DLH Signature 's RERA registration number is P51800046093"
Kalpataru Imperia,Kalpataru Limited,2 BHK Apartment,₹4.07 Cr,84432 - 1269 sq.ft,"Kalpataru Imperia, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3 BHK apartments in Santacruz West. Kalpataru Imperia is a RERA- registered society and P51800020203 is the RERA registration number. Apartments in Kalpataru Imperia have CARPET area ranging between 844.32 - 1,269 sq.ft.. Prices of apartments in this project, vary between Rs. 4.07 - 6.13 Cr"
Kalpataru Imperia,Kalpataru Limited,3 BHK Apartment,₹5.3 - 6.13 Cr,84432 - 1269 sq.ft,"Kalpataru Imperia, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3 BHK apartments in Santacruz West. Kalpataru Imperia is a RERA- registered society and P51800020203 is the RERA registration number. Apartments in Kalpataru Imperia have CARPET area ranging between 844.32 - 1,269 sq.ft.. Prices of apartments in this project, vary between Rs. 4.07 - 6.13 Cr"
Veena Solace,Nikunj Developers,2 BHK Apartment,₹3.32 - 3.36 Cr,831 - 945 sq.ft,"Here are beautifully built 2,3 BHK apartments in Santacruz West, available for sale at Veena Solace. Veena Solace apartments are available in multiples sizes, ranging from 831 - 945 sq.ft. CARPET area. Veena Solace 's RERA registration number is P51800030138. This society offers apartments in the price range of Rs. 3.32 - 3.78 Cr"
Veena Solace,Nikunj Developers,3 BHK Apartment,₹3.65 - 3.78 Cr,831 - 945 sq.ft,"Here are beautifully built 2,3 BHK apartments in Santacruz West, available for sale at Veena Solace. Veena Solace apartments are available in multiples sizes, ranging from 831 - 945 sq.ft. CARPET area. Veena Solace 's RERA registration number is P51800030138. This society offers apartments in the price range of Rs. 3.32 - 3.78 Cr"
Thapar Suburbia,Thapar Suburbia,2 BHK Apartment,₹2.37 - 2.5 Cr,687 - 975 sq.ft,"Thapar Suburbia society now offers elegantly built 2,3 BHK apartments in Chembur. Prices of apartments in this project, vary between Rs. 2.37 - 3.6 Cr. Thapar Suburbia apartments are available in multiples sizes, ranging from 687 - 975 sq.ft. CARPET area. The housing society is RERA-registered with P51800023381 registration number"
Thapar Suburbia,Thapar Suburbia,3 BHK Apartment,₹3.6 Cr,687 - 975 sq.ft,"Thapar Suburbia society now offers elegantly built 2,3 BHK apartments in Chembur. Prices of apartments in this project, vary between Rs. 2.37 - 3.6 Cr. Thapar Suburbia apartments are available in multiples sizes, ranging from 687 - 975 sq.ft. CARPET area. The housing society is RERA-registered with P51800023381 registration number"
Marathon Emblem,Marathon Realty,1 BHK Apartment,₹1.07 - 1.38 Cr,38212 - 190263 sq.ft,"Choose your dream home from the wide variety of 1,3,4 BHK apartments in Nirmal Nagar, available for sale in Marathon Emblem. This society offers apartments in the price range of Rs. 1.07 - 5.86 Cr. Marathon Emblem is a RERA- registered society and P51800000645 is the RERA registration number. Marathon Emblem apartments are available in multiples sizes, ranging from 382.12 - 1,902.63 sq.ft. CARPET area"
Marathon Emblem,Marathon Realty,3 BHK Apartment,₹3.5 - 4.43 Cr,38212 - 190263 sq.ft,"Choose your dream home from the wide variety of 1,3,4 BHK apartments in Nirmal Nagar, available for sale in Marathon Emblem. This society offers apartments in the price range of Rs. 1.07 - 5.86 Cr. Marathon Emblem is a RERA- registered society and P51800000645 is the RERA registration number. Marathon Emblem apartments are available in multiples sizes, ranging from 382.12 - 1,902.63 sq.ft. CARPET area"
Marathon Emblem,Marathon Realty,4 BHK Apartment,₹4.7 - 5.86 Cr,38212 - 190263 sq.ft,"Choose your dream home from the wide variety of 1,3,4 BHK apartments in Nirmal Nagar, available for sale in Marathon Emblem. This society offers apartments in the price range of Rs. 1.07 - 5.86 Cr. Marathon Emblem is a RERA- registered society and P51800000645 is the RERA registration number. Marathon Emblem apartments are available in multiples sizes, ranging from 382.12 - 1,902.63 sq.ft. CARPET area"
Rustomjee Paramount,Rustomjee,2 BHK Apartment,₹5.21 - 5.41 Cr,885 - 1848 sq.ft,"Here are beautifully built 2,3,4 BHK apartments in Khar West, available for sale at Rustomjee Paramount. Apartments in Rustomjee Paramount have CARPET area ranging between 885 - 1,848 sq.ft.. Prices of apartments in this project, vary between Rs. 5.21 - 10.83 Cr. Rustomjee Paramount 's RERA registration number is P51800000619"
Rustomjee Paramount,Rustomjee,3 BHK Apartment,₹8.25 - 10.59 Cr,885 - 1848 sq.ft,"Here are beautifully built 2,3,4 BHK apartments in Khar West, available for sale at Rustomjee Paramount. Apartments in Rustomjee Paramount have CARPET area ranging between 885 - 1,848 sq.ft.. Prices of apartments in this project, vary between Rs. 5.21 - 10.83 Cr. Rustomjee Paramount 's RERA registration number is P51800000619"
Rustomjee Paramount,Rustomjee,4 BHK Apartment,₹9.62 - 10.83 Cr,885 - 1848 sq.ft,"Here are beautifully built 2,3,4 BHK apartments in Khar West, available for sale at Rustomjee Paramount. Apartments in Rustomjee Paramount have CARPET area ranging between 885 - 1,848 sq.ft.. Prices of apartments in this project, vary between Rs. 5.21 - 10.83 Cr. Rustomjee Paramount 's RERA registration number is P51800000619"
Dosti Mezzo 22,Dosti Realty,2 BHK Apartment,₹2.52 - 3.28 Cr,532 - 1331 sq.ft,"Here are beautifully built 2,3 BHK apartments in Sion East, available for sale at Dosti Mezzo 22. This society is RERA approved and P51900026976 is the RERA number. Here units have different sizes, mostly in range of 532 - 1,331 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 2.52 - 6.8 Cr"
Dosti Mezzo 22,Dosti Realty,3 BHK Apartment,₹4.38 - 6.8 Cr,532 - 1331 sq.ft,"Here are beautifully built 2,3 BHK apartments in Sion East, available for sale at Dosti Mezzo 22. This society is RERA approved and P51900026976 is the RERA number. Here units have different sizes, mostly in range of 532 - 1,331 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 2.52 - 6.8 Cr"
Srishti Oasis,Srishti Group,1 BHK Apartment,₹88 L - 1 Cr,425 - 910 sq.ft,"Check out 1,2,3 BHK apartments in New Rajaram Wadi, now available for sale at Srishti Oasis. Srishti Oasis 's RERA registration number is P51800005548. Apartments in Srishti Oasis have CARPET area ranging between 425 - 910 sq.ft.. Apartments in this complex are available in price range of Rs. 88 L - 2.21 Cr"
