The Aga Hall Estate,The Aga Hall Estate,3,"Check out 2,3 BHK apartments in Mazgaon, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr","[""St. Mary's School ICSE, Mumbai"", 'Eastern Expressway Highway']",8.12,1404.0,57834.76,3
Natasha Atlantis,Natasha Developers,1,"Beautiful 1,2 BHK apartments in Vikhroli East, are now available in Natasha Atlantis housing project. Natasha Atlantis is a RERA- registered society and P51800047526 is the RERA registration number. Apartments in Natasha Atlantis have CARPET area ranging between 400 - 550 sq.ft.. Prices of apartments in this project, vary between Rs. 76.5 L - 1.25 Cr","['Veekays English High School', 'Ruby Hospital']",0.7746,550.0,14083.64,1
Natasha Atlantis,Natasha Developers,2,"Beautiful 1,2 BHK apartments in Vikhroli East, are now available in Natasha Atlantis housing project. Natasha Atlantis is a RERA- registered society and P51800047526 is the RERA registration number. Apartments in Natasha Atlantis have CARPET area ranging between 400 - 550 sq.ft.. Prices of apartments in this project, vary between Rs. 76.5 L - 1.25 Cr","['Veekays English High School', 'Ruby Hospital']",1.25,550.0,22727.27,2
Leo Eminence,Leo Builders,1,"Choose your dream home from the wide variety of 1,2 BHK apartments in Bandra Kurla Complex, available for sale in Leo Eminence. Leo Eminence apartments are available in multiples sizes, ranging from 422 - 622.05 sq.ft. CARPET area. Leo Eminence 's RERA registration number is P51800046335. Prices of apartments in this project, vary between Rs. 1.45 - 2.35 Cr","['Chetana College', 'Hallmark Business Plaza']",1.45,62205.0,233.1,1
Leo Eminence,Leo Builders,2,"Choose your dream home from the wide variety of 1,2 BHK apartments in Bandra Kurla Complex, available for sale in Leo Eminence. Leo Eminence apartments are available in multiples sizes, ranging from 422 - 622.05 sq.ft. CARPET area. Leo Eminence 's RERA registration number is P51800046335. Prices of apartments in this project, vary between Rs. 1.45 - 2.35 Cr","['Chetana College', 'Hallmark Business Plaza']",2.35,62205.0,377.78,2
Sheth Edmont,Ashwin Sheth Group,2,"Check out 2,3 BHK apartments in Kandivali West, now available for sale at Sheth Edmont. Apartment prices in this housing society vary in the range of Rs. 2.18 - 4.36 Cr. Sheth Edmont has apartments in multiple configurations, in range of 585 - 1,170 sq.ft.. This society is RERA approved and P51800053546 is the RERA number","['Kandivali Railway Station', 'Dahanukarwadi Metro Station']",2.81,1170.0,24017.09,2
Sheth Edmont,Ashwin Sheth Group,3,"Check out 2,3 BHK apartments in Kandivali West, now available for sale at Sheth Edmont. Apartment prices in this housing society vary in the range of Rs. 2.18 - 4.36 Cr. Sheth Edmont has apartments in multiple configurations, in range of 585 - 1,170 sq.ft.. This society is RERA approved and P51800053546 is the RERA number","['Kandivali Railway Station', 'Dahanukarwadi Metro Station']",4.36,1170.0,37264.96,3
Lodha Aura New Cuffe Parade,Lodha,3,"Here are beautifully built 3,4 BHK apartments in Wadala, available for sale at Lodha Aura New Cuffe Parade. This society is RERA approved and P51900034170 is the RERA number. Prices of apartments in this project, vary between Rs. 3.65 - 6.77 Cr. Lodha Aura New Cuffe Parade has apartments in multiple configurations, in range of 953 - 1,768 sq.ft.","['Eastren Express Hwy', 'K.J. Somaiya Hosp&Research Center']",5.03,1768.0,28450.23,3
Lodha Aura New Cuffe Parade,Lodha,4,"Here are beautifully built 3,4 BHK apartments in Wadala, available for sale at Lodha Aura New Cuffe Parade. This society is RERA approved and P51900034170 is the RERA number. Prices of apartments in this project, vary between Rs. 3.65 - 6.77 Cr. Lodha Aura New Cuffe Parade has apartments in multiple configurations, in range of 953 - 1,768 sq.ft.","['Eastren Express Hwy', 'K.J. Somaiya Hosp&Research Center']",6.77,1768.0,38291.86,4
Ajmera Manhattan,Ajmera Group,2,"Check out 2,3 BHK apartments in Wadala East, now available for sale at Ajmera Manhattan. This society is RERA approved and P51800032948 is the RERA number. This society offers apartments in the price range of Rs. 2.42 - 4.43 Cr. Here units have different sizes, mostly in range of 718 - 1,225 sq.ft. CARPET area","['Atal Setu', 'Bhakti Park Monorail Station']",2.66,1225.0,21714.29,2
Ajmera Manhattan,Ajmera Group,3,"Check out 2,3 BHK apartments in Wadala East, now available for sale at Ajmera Manhattan. This society is RERA approved and P51800032948 is the RERA number. This society offers apartments in the price range of Rs. 2.42 - 4.43 Cr. Here units have different sizes, mostly in range of 718 - 1,225 sq.ft. CARPET area","['Atal Setu', 'Bhakti Park Monorail Station']",4.43,1225.0,36163.27,3
Lodha Regalia,Lodha,2,"Beautiful 2,3 BHK apartments in Mulund East, are now available in Lodha Regalia housing project. Apartment prices in this housing society vary in the range of Rs. 2.07 - 3.19 Cr. Lodha Regalia apartments are available in multiples sizes, ranging from 710 - 1,146 sq.ft. CARPET area. The housing society is RERA-registered with P51800031360 registration number","['Bombay Presidency International School', 'Eastern Express Highway']",2.36,1146.0,20593.37,2
Lodha Regalia,Lodha,3,"Beautiful 2,3 BHK apartments in Mulund East, are now available in Lodha Regalia housing project. Apartment prices in this housing society vary in the range of Rs. 2.07 - 3.19 Cr. Lodha Regalia apartments are available in multiples sizes, ranging from 710 - 1,146 sq.ft. CARPET area. The housing society is RERA-registered with P51800031360 registration number","['Bombay Presidency International School', 'Eastern Express Highway']",3.19,1146.0,27835.95,3
Paradigm Artteza,Paradigm Realty,2,"Finest 2,3,4 BHK apartments in Santacruz West available for sale in Paradigm Artteza. Paradigm Artteza has apartments in multiple configurations, in range of 674 - 1,356 sq.ft.. Prices of apartments in this project, vary between Rs. 3.12 - 6.24 Cr. The housing society is RERA-registered with P51800030554 registration number","['Western Express Highway', 'Sarla Hospital & ICU']",3.12,1356.0,23008.85,2
Paradigm Artteza,Paradigm Realty,3,"Finest 2,3,4 BHK apartments in Santacruz West available for sale in Paradigm Artteza. Paradigm Artteza has apartments in multiple configurations, in range of 674 - 1,356 sq.ft.. Prices of apartments in this project, vary between Rs. 3.12 - 6.24 Cr. The housing society is RERA-registered with P51800030554 registration number","['Western Express Highway', 'Sarla Hospital & ICU']",6.24,1356.0,46017.7,3
Paradigm Artteza,Paradigm Realty,4,"Finest 2,3,4 BHK apartments in Santacruz West available for sale in Paradigm Artteza. Paradigm Artteza has apartments in multiple configurations, in range of 674 - 1,356 sq.ft.. Prices of apartments in this project, vary between Rs. 3.12 - 6.24 Cr. The housing society is RERA-registered with P51800030554 registration number","['Western Express Highway', 'Sarla Hospital & ICU']",6.24,1356.0,46017.7,4
Gagangiri Aerovista,Gagangiri Construction,1,"Gagangiri Aerovista, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2 BHK apartments in Andheri East. Prices of apartments in this project, vary between Rs. 1.04 - 1.66 Cr. Gagangiri Aerovista apartments are available in multiples sizes, ranging from 370 - 638 sq.ft. CARPET area. The housing society is RERA-registered with P51800012150 registration number","['Chinchpokli Railway Station', 'ITC Grand Central']",1.39,638.0,21786.83,1
Gagangiri Aerovista,Gagangiri Construction,2,"Gagangiri Aerovista, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2 BHK apartments in Andheri East. Prices of apartments in this project, vary between Rs. 1.04 - 1.66 Cr. Gagangiri Aerovista apartments are available in multiples sizes, ranging from 370 - 638 sq.ft. CARPET area. The housing society is RERA-registered with P51800012150 registration number","['Chinchpokli Railway Station', 'ITC Grand Central']",1.66,638.0,26018.81,2
Darsshan Promesa Fremont,Darsshan Properties,1,"Darsshan Promesa Fremont, one of the known housing societes in Mumbai South, brings classic yet modern 1,2,3 BHK apartments in Lalbaug. Darsshan Promesa Fremont is a RERA- registered society and P51900055088 is the RERA registration number. Darsshan Promesa Fremont apartments are available in multiples sizes, ranging from 675 - 1,053 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 2.35 - 3.66 Cr","['Fortis Hospital Mulund', 'R Galleria']",,1053.0,,1
Darsshan Promesa Fremont,Darsshan Properties,2,"Darsshan Promesa Fremont, one of the known housing societes in Mumbai South, brings classic yet modern 1,2,3 BHK apartments in Lalbaug. Darsshan Promesa Fremont is a RERA- registered society and P51900055088 is the RERA registration number. Darsshan Promesa Fremont apartments are available in multiples sizes, ranging from 675 - 1,053 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 2.35 - 3.66 Cr","['Fortis Hospital Mulund', 'R Galleria']",2.78,1053.0,26400.76,2
Darsshan Promesa Fremont,Darsshan Properties,3,"Darsshan Promesa Fremont, one of the known housing societes in Mumbai South, brings classic yet modern 1,2,3 BHK apartments in Lalbaug. Darsshan Promesa Fremont is a RERA- registered society and P51900055088 is the RERA registration number. Darsshan Promesa Fremont apartments are available in multiples sizes, ranging from 675 - 1,053 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 2.35 - 3.66 Cr","['Fortis Hospital Mulund', 'R Galleria']",3.66,1053.0,34757.83,3
Sheth Montana,Ashwin Sheth Group,2,"Finest 2,3,4 BHK apartments in Mulund West available for sale in Sheth Montana. Apartment prices in this housing society vary in the range of Rs. 1.53 - 6.64 Cr. Apartments in Sheth Montana have CARPET area ranging between 594 - 1,952 sq.ft.. Sheth Montana 's RERA registration number is P51800000735","['Dr L H Hiranandani Hospital', 'Powai Plaza']",3.07,1952.0,15727.46,2
Sheth Montana,Ashwin Sheth Group,3,"Finest 2,3,4 BHK apartments in Mulund West available for sale in Sheth Montana. Apartment prices in this housing society vary in the range of Rs. 1.53 - 6.64 Cr. Apartments in Sheth Montana have CARPET area ranging between 594 - 1,952 sq.ft.. Sheth Montana 's RERA registration number is P51800000735","['Dr L H Hiranandani Hospital', 'Powai Plaza']",4.55,1952.0,23309.43,3
Sheth Montana,Ashwin Sheth Group,4,"Finest 2,3,4 BHK apartments in Mulund West available for sale in Sheth Montana. Apartment prices in this housing society vary in the range of Rs. 1.53 - 6.64 Cr. Apartments in Sheth Montana have CARPET area ranging between 594 - 1,952 sq.ft.. Sheth Montana 's RERA registration number is P51800000735","['Dr L H Hiranandani Hospital', 'Powai Plaza']",6.64,1952.0,34016.39,4
Lodha Bellagio,Lodha,3,"Finest 3,4 BHK apartments in Powai available for sale in Lodha Bellagio. Prices of apartments in this project, vary between Rs. 3.59 - 6.48 Cr. Lodha Bellagio is a RERA- registered society and P51800033966 is the RERA registration number. Lodha Bellagio apartments are available in multiples sizes, ranging from 918 - 1,614 sq.ft. CARPET area","['Reay Road Railway Station', 'Masina Hospital']",4.84,1614.0,29987.61,3
Lodha Bellagio,Lodha,4,"Finest 3,4 BHK apartments in Powai available for sale in Lodha Bellagio. Prices of apartments in this project, vary between Rs. 3.59 - 6.48 Cr. Lodha Bellagio is a RERA- registered society and P51800033966 is the RERA registration number. Lodha Bellagio apartments are available in multiples sizes, ranging from 918 - 1,614 sq.ft. CARPET area","['Reay Road Railway Station', 'Masina Hospital']",6.48,1614.0,40148.7,4
Piramal Aranya,Piramal Realty,2,"Here are beautifully built 2,3,4 BHK apartments in Byculla East, available for sale at Piramal Aranya. Here units have different sizes, mostly in range of 635 - 2,850 sq.ft. CARPET area. Piramal Aranya is a RERA- registered society and P51900003324 is the RERA registration number. Prices of apartments in this project, vary between Rs. 2.9 - 15.03 Cr","['Zen Multi-speciality Hospital', 'Chembur Railway Station']",5.67,2850.0,19894.74,2
Piramal Aranya,Piramal Realty,3,"Here are beautifully built 2,3,4 BHK apartments in Byculla East, available for sale at Piramal Aranya. Here units have different sizes, mostly in range of 635 - 2,850 sq.ft. CARPET area. Piramal Aranya is a RERA- registered society and P51900003324 is the RERA registration number. Prices of apartments in this project, vary between Rs. 2.9 - 15.03 Cr","['Zen Multi-speciality Hospital', 'Chembur Railway Station']",10.75,2850.0,37719.3,3
Piramal Aranya,Piramal Realty,4,"Here are beautifully built 2,3,4 BHK apartments in Byculla East, available for sale at Piramal Aranya. Here units have different sizes, mostly in range of 635 - 2,850 sq.ft. CARPET area. Piramal Aranya is a RERA- registered society and P51900003324 is the RERA registration number. Prices of apartments in this project, vary between Rs. 2.9 - 15.03 Cr","['Zen Multi-speciality Hospital', 'Chembur Railway Station']",15.03,2850.0,52736.84,4
Vaibhavlaxmi Queens Avenue,Vaibhavlaxmi Builders,1,"Looking for your dream home? Explore 1,2 BHK apartments in Chembur East, now available in Vaibhavlaxmi Queens Avenue. Here units have different sizes, mostly in range of 397 - 650 sq.ft. CARPET area. This society is RERA approved and P51800054458 is the RERA number. This society offers apartments in the price range of Rs. 90 L - 1.75 Cr","['Prabhadevi', 'IKEA Worli City Store']",0.9,650.0,13846.15,1
Vaibhavlaxmi Queens Avenue,Vaibhavlaxmi Builders,2,"Looking for your dream home? Explore 1,2 BHK apartments in Chembur East, now available in Vaibhavlaxmi Queens Avenue. Here units have different sizes, mostly in range of 397 - 650 sq.ft. CARPET area. This society is RERA approved and P51800054458 is the RERA number. This society offers apartments in the price range of Rs. 90 L - 1.75 Cr","['Prabhadevi', 'IKEA Worli City Store']",1.75,650.0,26923.08,2
Rustomjee Crown,Rustomjee,3,"Finest 3,4,5 BHK apartments in Prabhadevi available for sale in Rustomjee Crown. Apartment prices in this housing society vary in the range of Rs. 10.09 - 27.14 Cr. The housing society is RERA-registered with P51900003268 registration number. Here units have different sizes, mostly in range of 1,334.74 - 3,088 sq.ft. CARPET area","['Mahalaxmi Railway Station', 'Nair Hospital']",14.64,3088.0,47409.33,3
Rustomjee Crown,Rustomjee,4,"Finest 3,4,5 BHK apartments in Prabhadevi available for sale in Rustomjee Crown. Apartment prices in this housing society vary in the range of Rs. 10.09 - 27.14 Cr. The housing society is RERA-registered with P51900003268 registration number. Here units have different sizes, mostly in range of 1,334.74 - 3,088 sq.ft. CARPET area","['Mahalaxmi Railway Station', 'Nair Hospital']",25.99,3088.0,84164.51,4
Rustomjee Crown,Rustomjee,5,"Finest 3,4,5 BHK apartments in Prabhadevi available for sale in Rustomjee Crown. Apartment prices in this housing society vary in the range of Rs. 10.09 - 27.14 Cr. The housing society is RERA-registered with P51900003268 registration number. Here units have different sizes, mostly in range of 1,334.74 - 3,088 sq.ft. CARPET area","['Mahalaxmi Railway Station', 'Nair Hospital']",27.14,3088.0,87888.6,5
Lodha Bellevue,Lodha,3,"Looking for your dream home? Explore 3,4 BHK apartments in Mahalaxmi, now available in Lodha Bellevue. Apartments in this complex are available in price range of Rs. 4.96 - 10.71 Cr. Lodha Bellevue is a RERA- registered society and P51900046567 is the RERA registration number. Here units have different sizes, mostly in range of 877 - 1,960 sq.ft. CARPET area","['Apex Hospitals Kandivali', 'Lokhandwala Foundation School']",6.28,1960.0,32040.82,3
Lodha Bellevue,Lodha,4,"Looking for your dream home? Explore 3,4 BHK apartments in Mahalaxmi, now available in Lodha Bellevue. Apartments in this complex are available in price range of Rs. 4.96 - 10.71 Cr. Lodha Bellevue is a RERA- registered society and P51900046567 is the RERA registration number. Here units have different sizes, mostly in range of 877 - 1,960 sq.ft. CARPET area","['Apex Hospitals Kandivali', 'Lokhandwala Foundation School']",10.71,1960.0,54642.86,4
Lodha Woods,Lodha,2,"Lodha Woods society now offers elegantly built 2,3,4 BHK apartments in Kandivali East. Prices of apartments in this project, vary between Rs. 2.04 - 4.9 Cr. This society is RERA approved and P51800031351 is the RERA number. Apartments in Lodha Woods have CARPET area ranging between 693 - 1,540 sq.ft.","['St Gregorios Primary School', 'Tata Institute of Social Sciences']",2.29,1540.0,14870.13,2
Lodha Woods,Lodha,3,"Lodha Woods society now offers elegantly built 2,3,4 BHK apartments in Kandivali East. Prices of apartments in this project, vary between Rs. 2.04 - 4.9 Cr. This society is RERA approved and P51800031351 is the RERA number. Apartments in Lodha Woods have CARPET area ranging between 693 - 1,540 sq.ft.","['St Gregorios Primary School', 'Tata Institute of Social Sciences']",3.64,1540.0,23636.36,3
Lodha Woods,Lodha,4,"Lodha Woods society now offers elegantly built 2,3,4 BHK apartments in Kandivali East. Prices of apartments in this project, vary between Rs. 2.04 - 4.9 Cr. This society is RERA approved and P51800031351 is the RERA number. Apartments in Lodha Woods have CARPET area ranging between 693 - 1,540 sq.ft.","['St Gregorios Primary School', 'Tata Institute of Social Sciences']",4.9,1540.0,31818.18,4
One Meraki,Meraki Habitats,2,"Looking for your dream home? Explore 2,3,4,5 BHK apartments in Chembur, now available in One Meraki. One Meraki 's RERA registration number is P51800011606. Apartments in this complex are available in price range of Rs. 2.92 - 14.96 Cr. One Meraki apartments are available in multiples sizes, ranging from 751 - 3,850 sq.ft. CARPET area","['Bombay Scottish School', 'Hinduja Hospital']",3.08,3850.0,8000.0,2
One Meraki,Meraki Habitats,3,"Looking for your dream home? Explore 2,3,4,5 BHK apartments in Chembur, now available in One Meraki. One Meraki 's RERA registration number is P51800011606. Apartments in this complex are available in price range of Rs. 2.92 - 14.96 Cr. One Meraki apartments are available in multiples sizes, ranging from 751 - 3,850 sq.ft. CARPET area","['Bombay Scottish School', 'Hinduja Hospital']",7.22,3850.0,18753.25,3
One Meraki,Meraki Habitats,4,"Looking for your dream home? Explore 2,3,4,5 BHK apartments in Chembur, now available in One Meraki. One Meraki 's RERA registration number is P51800011606. Apartments in this complex are available in price range of Rs. 2.92 - 14.96 Cr. One Meraki apartments are available in multiples sizes, ranging from 751 - 3,850 sq.ft. CARPET area","['Bombay Scottish School', 'Hinduja Hospital']",8.5,3850.0,22077.92,4
One Meraki,Meraki Habitats,5,"Looking for your dream home? Explore 2,3,4,5 BHK apartments in Chembur, now available in One Meraki. One Meraki 's RERA registration number is P51800011606. Apartments in this complex are available in price range of Rs. 2.92 - 14.96 Cr. One Meraki apartments are available in multiples sizes, ranging from 751 - 3,850 sq.ft. CARPET area","['Bombay Scottish School', 'Hinduja Hospital']",14.96,3850.0,38857.14,5
Suraj Lumina,Suraj Estate,2,"Looking for your dream home? Explore 2,3 BHK apartments in Mahim West, now available in Suraj Lumina. The housing society is RERA-registered with P51900054054 registration number. This society offers apartments in the price range of Rs. 2.87 - 4.59 Cr. Apartments in Suraj Lumina have CARPET area ranging between 575 - 919 sq.ft.","['Billabong High International School', 'M V M’s College of Commerce and Science']",3.1,919.0,33732.32,2
Suraj Lumina,Suraj Estate,3,"Looking for your dream home? Explore 2,3 BHK apartments in Mahim West, now available in Suraj Lumina. The housing society is RERA-registered with P51900054054 registration number. This society offers apartments in the price range of Rs. 2.87 - 4.59 Cr. Apartments in Suraj Lumina have CARPET area ranging between 575 - 919 sq.ft.","['Billabong High International School', 'M V M’s College of Commerce and Science']",4.59,919.0,49945.59,3
Signature by Peridot,Lotus Builders,1,"Signature by Peridot society now offers elegantly built 1,2 BHK apartments in Andheri West. Signature by Peridot 's RERA registration number is P51800046020. Prices of apartments in this project, vary between Rs. 1.45 - 2.13 Cr. Apartments in Signature by Peridot have CARPET area ranging between 428 - 590 sq.ft.","['A. M. Naik School', 'Ramada by Wyndham Powai Hotel']",1.58,590.0,26779.66,1
Signature by Peridot,Lotus Builders,2,"Signature by Peridot society now offers elegantly built 1,2 BHK apartments in Andheri West. Signature by Peridot 's RERA registration number is P51800046020. Prices of apartments in this project, vary between Rs. 1.45 - 2.13 Cr. Apartments in Signature by Peridot have CARPET area ranging between 428 - 590 sq.ft.","['A. M. Naik School', 'Ramada by Wyndham Powai Hotel']",2.13,590.0,36101.69,2
L and T Elixir Reserve,LNT Realty,2,"Finest 2,3,4 BHK apartments in Powai available for sale in L and T Elixir Reserve. This society is RERA approved and P51800033618 is the RERA number. Apartments in this complex are available in price range of Rs. 2.48 - 11.91 Cr. Here units have different sizes, mostly in range of 631.52 - 1,956.13 sq.ft. CARPET area",[],3.85,195613.0,196.82,2
L and T Elixir Reserve,LNT Realty,3,"Finest 2,3,4 BHK apartments in Powai available for sale in L and T Elixir Reserve. This society is RERA approved and P51800033618 is the RERA number. Apartments in this complex are available in price range of Rs. 2.48 - 11.91 Cr. Here units have different sizes, mostly in range of 631.52 - 1,956.13 sq.ft. CARPET area",[],8.11,195613.0,414.59,3
L and T Elixir Reserve,LNT Realty,4,"Finest 2,3,4 BHK apartments in Powai available for sale in L and T Elixir Reserve. This society is RERA approved and P51800033618 is the RERA number. Apartments in this complex are available in price range of Rs. 2.48 - 11.91 Cr. Here units have different sizes, mostly in range of 631.52 - 1,956.13 sq.ft. CARPET area",[],11.91,195613.0,608.86,4
Eternia by Oberoi Realty,Oberoi Realty,3,"Eternia by Oberoi Realty society now offers elegantly built 3,4 BHK apartments in Mulund West. The housing society is RERA-registered with P51800006141 registration number. Here units have different sizes, mostly in range of 912.77 - 1,204.48 sq.ft. CARPET area. This society offers apartments in the price range of Rs. 2.68 - 3.54 Cr","['Proposed Metro Station', 'MULUND STATION']",3.54,120448.0,293.9,3
Eternia by Oberoi Realty,Oberoi Realty,4,"Eternia by Oberoi Realty society now offers elegantly built 3,4 BHK apartments in Mulund West. The housing society is RERA-registered with P51800006141 registration number. Here units have different sizes, mostly in range of 912.77 - 1,204.48 sq.ft. CARPET area. This society offers apartments in the price range of Rs. 2.68 - 3.54 Cr","['Proposed Metro Station', 'MULUND STATION']",,120448.0,,4
Vista Residences,ID Group and AVA Group and Eleva,2,"Vista Residences society now offers elegantly built 2,3 BHK apartments in Goregaon West. Prices of apartments in this project, vary between Rs. 2.89 - 5.15 Cr. The housing society is RERA-registered with P51800053625 registration number. Apartments in Vista Residences have CARPET area ranging between 750 - 1,170.8 sq.ft.","['Vicino Mall', 'Goregaon West Metro Station']",3.7,11708.0,3160.23,2
Vista Residences,ID Group and AVA Group and Eleva,3,"Vista Residences society now offers elegantly built 2,3 BHK apartments in Goregaon West. Prices of apartments in this project, vary between Rs. 2.89 - 5.15 Cr. The housing society is RERA-registered with P51800053625 registration number. Apartments in Vista Residences have CARPET area ranging between 750 - 1,170.8 sq.ft.","['Vicino Mall', 'Goregaon West Metro Station']",5.15,11708.0,4398.7,3
Lodha Adrina,Lodha,2,"Lodha Adrina society now offers elegantly built 2,3,4,5 BHK apartments in Worli. The housing society is RERA-registered with P51900014937 registration number. Prices of apartments in this project, vary between Rs. 6.8 - 18.61 Cr. Lodha Adrina has apartments in multiple configurations, in range of 944 - 2,520 sq.ft.","['Worli North Bmc School', 'Dr. Tilak Hospital']",6.97,2520.0,27658.73,2
Lodha Adrina,Lodha,3,"Lodha Adrina society now offers elegantly built 2,3,4,5 BHK apartments in Worli. The housing society is RERA-registered with P51900014937 registration number. Prices of apartments in this project, vary between Rs. 6.8 - 18.61 Cr. Lodha Adrina has apartments in multiple configurations, in range of 944 - 2,520 sq.ft.","['Worli North Bmc School', 'Dr. Tilak Hospital']",9.85,2520.0,39087.3,3
Lodha Adrina,Lodha,4,"Lodha Adrina society now offers elegantly built 2,3,4,5 BHK apartments in Worli. The housing society is RERA-registered with P51900014937 registration number. Prices of apartments in this project, vary between Rs. 6.8 - 18.61 Cr. Lodha Adrina has apartments in multiple configurations, in range of 944 - 2,520 sq.ft.","['Worli North Bmc School', 'Dr. Tilak Hospital']",15.95,2520.0,63293.65,4
Lodha Adrina,Lodha,5,"Lodha Adrina society now offers elegantly built 2,3,4,5 BHK apartments in Worli. The housing society is RERA-registered with P51900014937 registration number. Prices of apartments in this project, vary between Rs. 6.8 - 18.61 Cr. Lodha Adrina has apartments in multiple configurations, in range of 944 - 2,520 sq.ft.","['Worli North Bmc School', 'Dr. Tilak Hospital']",18.61,2520.0,73849.21,5
